destino,tipo,popularidad,precio,clima,idioma,continente,rating,estacion
Zermatt,montaña,baja,alto,alpino,alemán,Europa,bajo,primavera
Chamonix,montaña,baja,alto,alpino,francés,Europa,medio,otoño
Banff,montaña,baja,medio,subártico,inglés,América,medio,invierno
Aspen,montaña,baja,medio,continental,inglés,América,alto,primavera
Bariloche,montaña,alta,bajo,templado húmedo,español,América,alto,primavera
Innsbruck,montaña,baja,bajo,alpino,alemán,Europa,alto,verano
Cuzco,montaña,alta,medio,templado de altura,español,América,medio,invierno
Queenstown,montaña,alta,alto,oceánico montañoso,inglés,Oceanía,medio,verano
Telluride,montaña,baja,alto,alpino,inglés,América,bajo,verano
Grindelwald,montaña,media,bajo,alpino,alemán,Europa,alto,verano
Andorra la Vella,montaña,baja,bajo,alpino,catalán,Europa,alto,verano
Hallstatt,montaña,media,medio,alpino,alemán,Europa,alto,primavera
Tromsø,montaña,media,medio,subártico,noruego,Europa,medio,verano
Nagano,montaña,baja,medio,continental,japonés,Asia,alto,verano
La Paz,montaña,baja,medio,templado de altura,español,América,bajo,otoño
Valle Nevado,montaña,baja,bajo,alpino,español,América,medio,verano
Arequipa,montaña,media,alto,templado de altura,español,América,alto,invierno
Kitzbühel,montaña,baja,medio,alpino,alemán,Europa,medio,verano
Merano,montaña,baja,medio,templado,alemán,Europa,bajo,invierno
Bariloche Capital,montaña,baja,medio,templado húmedo,español,América,medio,invierno
Aspen Ciudad,montaña,alta,bajo,continental,inglés,América,medio,invierno
Kitzbühel Capital,montaña,media,bajo,alpino,alemán,Europa,bajo,verano
La Paz Ciudad,montaña,alta,medio,templado de altura,español,América,bajo,invierno
Innsbruck Capital,montaña,alta,alto,alpino,alemán,Europa,medio,otoño
Cuzco Ciudad,montaña,alta,alto,templado de altura,español,América,bajo,primavera
Queenstown Capital,montaña,media,alto,oceánico montañoso,inglés,Oceanía,medio,invierno
Grindelwald Centro,montaña,baja,alto,alpino,alemán,Europa,alto,primavera
Nagano Ciudad,montaña,media,medio,continental,japonés,Asia,medio,invierno
Valle Nevado Centro,montaña,alta,alto,alpino,español,América,bajo,primavera
Andorra la Vella Ciudad,montaña,media,bajo,alpino,catalán,Europa,alto,primavera
Banff Centro,montaña,baja,alto,subártico,inglés,América,medio,verano
Valle Nevado Centro Ciudad,montaña,alta,medio,alpino,español,América,medio,invierno
Innsbruck Capital Ciudad,montaña,baja,alto,alpino,alemán,Europa,alto,invierno
Interlaken Centro,montaña,alta,medio,alpino,alemán,Europa,medio,primavera
Queenstown Capital Ciudad,montaña,baja,alto,oceánico montañoso,inglés,Oceanía,alto,invierno
Kitzbühel Capital,montaña,alta,medio,alpino,alemán,Europa,bajo,verano
Aspen Ciudad Centro,montaña,alta,bajo,continental,inglés,América,medio,otoño
Merano Centro,montaña,media,bajo,templado,alemán,Europa,medio,invierno
Nagano Ciudad Ciudad,montaña,alta,alto,continental,japonés,Asia,medio,verano
Telluride Capital,montaña,baja,alto,alpino,inglés,América,bajo,primavera
Valle Nevado Ciudad,montaña,media,bajo,alpino,español,América,bajo,verano
Interlaken Ciudad,montaña,alta,bajo,alpino,alemán,Europa,alto,otoño
Innsbruck Capital,montaña,baja,alto,alpino,alemán,Europa,alto,invierno
Kitzbühel Capital Ciudad,montaña,media,alto,alpino,alemán,Europa,alto,otoño
Cuzco Ciudad Capital,montaña,alta,bajo,templado de altura,español,América,alto,invierno
Kitzbühel Centro,montaña,alta,bajo,alpino,alemán,Europa,bajo,invierno
Banff Centro Centro,montaña,baja,medio,subártico,inglés,América,bajo,otoño
Andorra la Vella Capital,montaña,baja,medio,alpino,catalán,Europa,alto,primavera
Hallstatt Ciudad,montaña,baja,medio,alpino,alemán,Europa,bajo,primavera
Kitzbühel Capital Ciudad Ciudad,montaña,alta,medio,alpino,alemán,Europa,medio,verano
Aspen Ciudad Centro,montaña,baja,alto,continental,inglés,América,alto,verano
Innsbruck Ciudad,montaña,alta,alto,alpino,alemán,Europa,bajo,otoño
Banff Centro Centro Capital,montaña,alta,medio,subártico,inglés,América,alto,verano
Valle Nevado Centro Ciudad,montaña,baja,bajo,alpino,español,América,bajo,primavera
Nagano Ciudad Ciudad Capital,montaña,alta,alto,continental,japonés,Asia,bajo,otoño
Aspen Ciudad Centro Centro,montaña,baja,bajo,continental,inglés,América,bajo,otoño
Zermatt Capital,montaña,media,medio,alpino,alemán,Europa,alto,invierno
Interlaken Ciudad Ciudad,montaña,baja,bajo,alpino,alemán,Europa,bajo,invierno
Hallstatt Ciudad Ciudad,montaña,media,medio,alpino,alemán,Europa,medio,primavera
Roma,histórico,alta,bajo,templado,italiano,Europa,bajo,primavera
Atenas,histórico,baja,medio,mediterráneo,griego,Europa,bajo,verano
Petra,histórico,alta,bajo,desértico,árabe,Asia,bajo,invierno
Jerusalén,histórico,alta,bajo,árido,hebreo,Europa,medio,verano
Kioto,histórico,baja,alto,subtropical,japonés,Asia,bajo,otoño
Luang Prabang,histórico,baja,medio,tropical,laosiano,Asia,medio,primavera
Praga,histórico,alta,bajo,continental,checo,Europa,medio,primavera
Estambul,histórico,media,medio,templado,turco,Europa,bajo,invierno
Florencia,histórico,media,medio,mediterráneo,italiano,Europa,medio,primavera
Cracovia,histórico,media,medio,continental,polaco,Europa,medio,invierno
Cartago,histórico,media,bajo,templado,español,América,bajo,verano
Fez,histórico,alta,medio,semiárido,árabe,África,alto,invierno
Cusco,histórico,media,bajo,templado de altura,español,América,alto,invierno
Teotihuacán,histórico,alta,bajo,árido,español,América,alto,verano
Xi'an,histórico,alta,bajo,continental,chino,Asia,medio,otoño
Dubrovnik,histórico,baja,alto,mediterráneo,croata,Europa,bajo,otoño
Granada,histórico,alta,medio,mediterráneo,español,Europa,bajo,verano
Delphi,histórico,baja,medio,mediterráneo,griego,Europa,bajo,otoño
Brugge,histórico,alta,bajo,oceánico,neerlandés,Europa,bajo,otoño
Éfeso,histórico,baja,bajo,mediterráneo,griego,Asia,bajo,verano
Cracovia Centro,histórico,baja,alto,continental,polaco,Europa,bajo,invierno
Petra Ciudad,histórico,media,medio,desértico,árabe,Asia,medio,primavera
Kioto Centro,histórico,alta,bajo,subtropical,japonés,Asia,medio,verano
Dubrovnik Centro,histórico,media,alto,mediterráneo,croata,Europa,medio,otoño
Florencia Capital,histórico,media,alto,mediterráneo,italiano,Europa,bajo,otoño
Granada Capital,histórico,alta,medio,mediterráneo,español,Europa,alto,otoño
Éfeso Ciudad,histórico,baja,medio,mediterráneo,griego,Asia,medio,verano
Fez Ciudad,histórico,media,alto,semiárido,árabe,África,alto,verano
Cusco Centro,histórico,media,medio,templado de altura,español,América,alto,invierno
Jerusalén Ciudad,histórico,baja,bajo,mediterráneo,hebreo,Europa,bajo,primavera
Brugge Centro,histórico,baja,alto,oceánico,neerlandés,Europa,bajo,otoño
Fez Ciudad Centro,histórico,baja,alto,semiárido,árabe,África,alto,invierno
Fez Centro,histórico,media,bajo,semiárido,árabe,África,alto,invierno
Cracovia Centro Centro,histórico,baja,alto,continental,polaco,Europa,medio,primavera
Delphi Ciudad,histórico,media,alto,mediterráneo,griego,Europa,alto,verano
Atenas Capital,histórico,baja,medio,mediterráneo,griego,Europa,alto,verano
Éfeso Centro,histórico,media,medio,mediterráneo,griego,Asia,bajo,primavera
Dubrovnik Centro Centro,histórico,alta,medio,mediterráneo,croata,Europa,medio,otoño
Jerusalén Capital,histórico,media,medio,mediterráneo,hebreo,Europa,alto,verano
Petra Capital,histórico,baja,medio,desértico,árabe,Asia,medio,verano
Delphi Ciudad,histórico,media,alto,mediterráneo,griego,Europa,alto,invierno
Brugge Ciudad,histórico,baja,medio,oceánico,neerlandés,Europa,alto,otoño
Jerusalén Ciudad,histórico,alta,medio,mediterráneo,hebreo,Europa,alto,invierno
Teotihuacán Capital,histórico,baja,alto,árido,español,América,medio,otoño
Cracovia Centro Centro Centro,histórico,baja,bajo,continental,polaco,Europa,medio,verano
Fez Ciudad Centro Capital,histórico,alta,bajo,semiárido,árabe,África,medio,verano
Jerusalén Ciudad Capital,histórico,media,alto,mediterráneo,hebreo,Europa,alto,invierno
Delphi Ciudad Capital,histórico,media,bajo,mediterráneo,griego,Europa,bajo,invierno
Cracovia Centro,histórico,media,alto,continental,polaco,Europa,alto,primavera
Xi'an Capital,histórico,alta,alto,continental,chino,Asia,medio,primavera
Granada Ciudad,histórico,alta,medio,mediterráneo,español,Europa,medio,verano
Roma Ciudad,histórico,alta,bajo,mediterráneo,italiano,Europa,alto,invierno
Florencia Capital Capital,histórico,baja,bajo,mediterráneo,italiano,Europa,medio,primavera
Cusco Centro Ciudad,histórico,baja,medio,templado de altura,español,América,alto,verano
Estambul Capital,histórico,alta,alto,mediterráneo,turco,Europa,medio,verano
Cusco Ciudad,histórico,media,medio,templado de altura,español,América,alto,verano
Fez Ciudad Centro Capital Centro,histórico,media,medio,semiárido,árabe,África,bajo,invierno
Fez Ciudad Centro Centro,histórico,media,medio,semiárido,árabe,África,medio,primavera
Jerusalén Ciudad Capital,histórico,media,medio,mediterráneo,hebreo,Europa,medio,primavera
Petra Ciudad Ciudad,histórico,media,alto,desértico,árabe,Asia,bajo,otoño
Lima,gastronómico,alta,medio,árido,español,América,alto,invierno
Bangkok,gastronómico,media,bajo,tropical,tailandés,Asia,bajo,otoño
Nápoles,gastronómico,alta,medio,mediterráneo,italiano,Europa,alto,invierno
Ciudad de México,gastronómico,media,medio,templado,español,América,medio,otoño
Oporto,gastronómico,media,bajo,oceánico,portugués,Europa,medio,otoño
Marrakech,gastronómico,media,medio,semiárido,árabe,África,medio,verano
Buenos Aires,gastronómico,alta,medio,templado,español,América,alto,otoño
Lyon,gastronómico,alta,alto,oceánico,francés,Europa,medio,primavera
Barcelona,gastronómico,alta,alto,templado,español,Europa,alto,primavera
Hanoi,gastronómico,media,alto,tropical,vietnamita,Asia,bajo,invierno
Tokio,gastronómico,baja,medio,templado,japonés,Asia,bajo,otoño
Nueva Orleans,gastronómico,baja,medio,subtropical,inglés,América,bajo,verano
Osaka,gastronómico,alta,medio,subtropical,japonés,Asia,medio,otoño
Estambul,gastronómico,alta,alto,templado,turco,Europa,medio,verano
Copenhague,gastronómico,alta,bajo,oceánico,danés,Europa,alto,invierno
Beirut,gastronómico,alta,alto,mediterráneo,árabe,Asia,bajo,verano
Singapur,gastronómico,baja,bajo,tropical,inglés,Asia,alto,invierno
San Sebastián,gastronómico,baja,alto,oceánico,español,Europa,alto,otoño
Ho Chi Minh,gastronómico,alta,alto,tropical,vietnamita,Asia,medio,primavera
Bologna,gastronómico,baja,medio,mediterráneo,italiano,Europa,medio,verano
Nueva Orleans Capital,gastronómico,baja,medio,subtropical,inglés,América,alto,verano
Osaka Centro,gastronómico,media,bajo,subtropical,japonés,Asia,bajo,verano
Oporto Ciudad,gastronómico,media,medio,oceánico,portugués,Europa,medio,primavera
Buenos Aires Centro,gastronómico,alta,alto,templado húmedo,español,América,alto,invierno
Copenhague Centro,gastronómico,alta,medio,oceánico,danés,Europa,bajo,invierno
Nápoles Ciudad,gastronómico,baja,bajo,mediterráneo,italiano,Europa,alto,verano
Bologna Centro,gastronómico,media,alto,mediterráneo,italiano,Europa,alto,verano
Estambul Capital,gastronómico,alta,bajo,mediterráneo,turco,Europa,medio,invierno
Beirut Centro,gastronómico,alta,alto,mediterráneo,árabe,Asia,medio,invierno
Lyon Capital,gastronómico,baja,bajo,oceánico,francés,Europa,medio,otoño
Lima Centro,gastronómico,baja,alto,desértico,español,América,bajo,invierno
Beirut Capital,gastronómico,baja,alto,mediterráneo,árabe,Asia,alto,primavera
Ciudad de México Capital,gastronómico,baja,bajo,templado,español,América,bajo,otoño
Bologna Centro Centro,gastronómico,alta,alto,mediterráneo,italiano,Europa,medio,verano
Bologna Centro,gastronómico,baja,bajo,mediterráneo,italiano,Europa,medio,primavera
Nueva Orleans Capital Ciudad,gastronómico,baja,bajo,subtropical,inglés,América,alto,otoño
Beirut Centro Capital,gastronómico,media,medio,mediterráneo,árabe,Asia,medio,primavera
Estambul Capital Capital,gastronómico,alta,bajo,mediterráneo,turco,Europa,bajo,otoño
Copenhague Ciudad,gastronómico,alta,medio,oceánico,danés,Europa,bajo,primavera
Singapur Ciudad,gastronómico,alta,bajo,tropical,inglés,Asia,bajo,invierno
Singapur Ciudad,gastronómico,alta,medio,tropical,inglés,Asia,alto,otoño
Copenhague Ciudad Capital,gastronómico,alta,alto,oceánico,danés,Europa,bajo,verano
Ho Chi Minh Capital,gastronómico,media,alto,tropical,vietnamita,Asia,medio,verano
Beirut Centro Capital Ciudad,gastronómico,baja,bajo,mediterráneo,árabe,Asia,medio,invierno
Nápoles Ciudad,gastronómico,baja,medio,mediterráneo,italiano,Europa,alto,invierno
Hanoi Centro,gastronómico,baja,medio,tropical,vietnamita,Asia,alto,invierno
Estambul Capital Ciudad,gastronómico,alta,medio,mediterráneo,turco,Europa,bajo,primavera
Osaka Centro Capital,gastronómico,baja,bajo,subtropical,japonés,Asia,medio,otoño
Nueva Orleans Capital Ciudad Centro,gastronómico,media,medio,subtropical,inglés,América,bajo,verano
Lyon Centro,gastronómico,media,alto,oceánico,francés,Europa,bajo,verano
Hanoi Capital,gastronómico,alta,alto,tropical,vietnamita,Asia,bajo,verano
Bologna Capital,gastronómico,media,medio,mediterráneo,italiano,Europa,bajo,invierno
Singapur Ciudad,gastronómico,media,alto,tropical,inglés,Asia,alto,otoño
Copenhague Ciudad Capital Capital,gastronómico,alta,bajo,oceánico,danés,Europa,alto,invierno
Lima Centro Centro,gastronómico,alta,alto,desértico,español,América,medio,primavera
Nápoles Ciudad Ciudad,gastronómico,alta,alto,mediterráneo,italiano,Europa,bajo,verano
Buenos Aires Capital,gastronómico,alta,alto,templado húmedo,español,América,medio,verano
Hanoi Centro Centro,gastronómico,media,bajo,tropical,vietnamita,Asia,bajo,invierno
Lyon Centro Ciudad,gastronómico,baja,bajo,oceánico,francés,Europa,alto,invierno
Estambul Ciudad,gastronómico,alta,medio,mediterráneo,turco,Europa,bajo,verano
